"date";"AtomId";"Shows";"BudgetSpent";"Clicks"
"2024-06-15";10485;4;0.11558400;0
"2024-06-14";10433;899;15.95059200;6
"2024-06-21";10439;78;1.68560000;0
"2024-06-11";10607;9;0.12521600;0
"2024-06-28";10256;1;0.00000000;0
"2024-06-12";10472;2;0.02889600;0
"2024-06-26";10256;1;0.00000000;0
"2024-06-26";10643;22;0.70313600;1
"2024-06-16";10623;10;0.03852800;0
"2024-06-12";10591;2;0.00000000;0
"2024-06-29";10667;1;0.00963200;0
"2024-06-16";10233;963;30.77424000;3
"2024-06-12";10434;829;32.12272000;19
"2024-06-16";10582;0;0.00000000;0
"2024-06-19";10477;2;0.07705600;0
"2024-06-24";10654;8;0.19264000;0
"2024-06-14";10430;132;2.79328000;2
"2024-06-12";10589;5;0.05779200;0
"2024-06-23";10042;1;0.00000000;0
"2024-06-21";10480;1;0.00963200;0
"2024-06-22";10222;298;2.56211200;25
"2024-06-12";10431;366;6.63644800;1
"2024-06-19";10634;332;2.29241600;13
"2024-06-11";10222;34;0.29859200;3
"2024-07-03";10689;13;0.47948096;3
"2024-06-28";10447;107;1.54112000;0
"2024-06-11";10491;2;0.06742400;0
"2024-06-20";10619;11;0.07705600;1
"2024-06-16";10427;5;0.00000000;0
"2024-06-17";10603;2;0.00000000;0
"2024-06-13";10254;99;3.53494400;0
"2024-06-12";10469;17;0.64534400;0
"2024-06-20";10499;490;13.84118400;3
"2024-06-25";10433;152;2.77401600;5
"2024-06-28";10488;23;0.43344000;1
"2024-06-14";10502;6;0.27932800;0
"2024-06-25";10710;2;0.06742400;0
"2024-06-24";10492;2;0.01926400;0
"2024-06-23";10431;1;0.00963200;0
"2024-06-25";10436;1;0.01926400;0
"2024-06-25";10474;161;3.72758400;0
"2024-06-14";10624;1362;11.05753600;57
"2024-06-14";10591;2;0.00000000;0
"2024-06-17";10604;1;0.00000000;0
"2024-06-12";10630;10;0.07705600;1
"2024-06-29";10665;206;8.13904000;0
"2024-06-17";10607;340;2.90886400;13
"2024-06-24";10611;2;0.00000000;0
"2024-06-14";10434;399;11.82915552;9
"2024-07-05";10148;0;0.00000000;0
"2024-06-24";10614;2;0.00963200;1
"2024-06-13";10330;3;0.07705600;0
"2024-06-12";10432;8;0.11558400;0
"2024-06-14";10472;230;4.18028800;2
"2024-06-17";10596;3;0.00000000;0
"2024-06-24";10254;31;0.68387200;0
"2024-06-14";10583;3690;46.99558752;71
"2024-06-24";10652;103;0.61644800;0
"2024-07-01";10696;13;2.43024992;2
"2024-06-26";10144;216;4.86416000;1
"2024-06-26";10176;509;7.76339200;1
"2024-06-16";10421;2;0.08668800;0
"2024-06-18";10427;2;0.00963200;0
"2024-06-19";10595;1458;12.81056000;83
"2024-06-26";10653;13;0.41417600;0
"2024-07-08";10706;156;38.23788416;22
"2024-07-04";10167;483;5.49024000;1
"2024-06-25";10434;3;0.03852800;1
"2024-06-13";10332;94;1.65670400;2
"2024-07-06";10167;0;0.00000000;0
"2024-06-28";10222;26;0.15411200;1
"2024-06-18";10624;2;0.00963200;0
"2024-06-24";10222;8015;64.77808960;410
"2024-06-13";10610;697;4.36329600;31
"2024-06-27";10624;8;0.07705600;1
"2024-06-17";10634;9;0.09622368;1
"2024-06-12";10241;142;2.78364800;1
"2024-06-25";10432;428;10.33513600;9
"2024-07-08";10469;0;0.00000000;0
"2024-06-18";10498;524;11.85699200;3
"2024-06-14";10589;4;0.02889600;0
"2024-06-26";10645;1605;30.41785600;8
"2024-07-07";10643;11;0.54902400;1
"2024-07-03";10502;0;0.00000000;0
"2024-06-15";10602;16;0.06742400;2
"2024-06-15";10174;1348;30.64902400;4
"2024-07-04";10640;395;8.55321600;21
"2024-06-13";10143;69;3.21708800;0
"2024-06-21";10629;2;0.00963200;0
"2024-06-16";10540;0;0.00000000;0
"2024-06-14";10585;93;0.02889600;1
"2024-07-04";10017;359;26.57468800;14
"2024-06-17";10256;57;1.49296000;1
"2024-06-18";10614;3;0.00000000;0
"2024-06-19";10447;207;5.08569600;0
"2024-06-21";10469;10;0.23116800;0
"2024-06-11";10498;379;4.32476800;0
"2024-06-24";10643;23;0.86408672;2
"2024-06-17";10168;1;0.03852800;0
"2024-06-22";10462;1;0.04816000;0
"2024-06-26";10603;2;0.02889600;0
"2024-06-21";10170;63;1.89750400;0
"2024-06-16";10433;701;16.65372800;8
"2024-06-19";10437;339;8.62064000;1
"2024-06-11";10577;35;0.05779200;1
"2024-06-26";10651;86;1.22326400;1
"2024-06-21";10328;562;11.77993600;8
"2024-06-11";10458;1;0.01926400;0
"2024-07-04";10643;6;0.07705600;0
"2024-06-11";10331;601;7.68633600;5
"2024-07-01";10469;2;0.13484800;0
"2024-06-29";10668;3436;57.12353920;178
"2024-06-18";10148;201;6.33785600;0
"2024-06-26";10493;3;0.00963200;0
"2024-06-11";10579;1;0.00963200;0
"2024-06-24";10502;1535;20.30425600;6
"2024-06-14";10422;559;11.32723200;4
"2024-06-15";10018;10;0.21190400;8
"2024-06-11";10489;1;0.00963200;0
"2024-06-22";10610;130;0.77056000;3
"2024-06-18";10624;31;0.33683104;1
"2024-06-15";10216;6;0.07705600;1
"2024-07-06";10168;3;0.01926400;0
"2024-06-26";10654;245;4.92195200;1
"2024-06-23";10443;46;0.73203200;0
"2024-06-23";10481;1;0.00963200;0
"2024-06-21";10641;1;0.01926400;0
"2024-06-21";10472;3;0.08668800;0
"2024-06-12";10470;1;0.00963200;0
"2024-06-30";10689;1;0.00000000;0
"2024-06-23";10433;121;2.49468800;2
"2024-06-15";10244;71;1.89750400;0
"2024-06-25";10711;4;0.09632000;0
"2024-06-25";10634;6;0.00963200;1
"2024-06-30";10331;151;2.31168000;1
"2024-06-11";10499;270;5.65398400;1
"2024-06-21";10706;31;0.00000000;0
"2024-06-30";10171;1;0.00963200;0
"2024-06-16";10431;2;0.00963200;0
"2024-06-29";10437;1;0.00963200;0
"2024-06-17";10485;570;19.89008000;3
"2024-06-22";10689;371;19.92562208;24
"2024-06-19";10122;177;5.78883200;0
"2024-06-14";10432;10;0.24080000;0
"2024-07-01";10460;19;0.40454400;0
"2024-06-27";10475;365;6.92540800;0
"2024-06-24";10650;1;0.00000000;0
"2024-07-06";10436;0;0.00000000;0
"2024-06-26";10445;117;2.03196672;0
"2024-06-30";10650;146;3.46752000;1
"2024-07-01";10468;191;4.71968000;4
"2024-06-21";10479;190;4.46924800;0
"2024-06-28";10216;4;0.08668800;0
"2024-06-14";10233;2;0.30822400;0
"2024-07-01";10457;67;1.07878400;0
"2024-06-24";10493;2;0.02889600;0
"2024-06-11";10578;154;0.55865600;0
"2024-06-11";10488;632;21.84537600;2
"2024-06-24";10642;497;19.22547200;29
"2024-06-12";10463;4;0.08668800;0
"2024-06-21";10468;121;3.40972800;1
"2024-06-11";10328;6;0.06742400;0
"2024-06-14";10582;3;0.00000000;0
"2024-06-27";10655;123;4.12249600;1
"2024-06-24";10482;1;0.00963200;0
"2024-06-22";10540;0;0.00000000;0
"2024-07-04";10236;0;0.00000000;0
"2024-06-21";10640;1234;28.07824320;28
"2024-06-13";10444;61;2.42726400;0
"2024-06-21";10244;64;1.23289600;0
"2024-06-19";10444;113;2.76438400;1
"2024-06-20";10042;7;0.00000000;0
"2024-06-11";10332;41;0.53939200;0
"2024-06-22";10619;4;0.00963200;0
"2024-06-25";10623;8;0.05779200;1
"2024-06-15";10483;1;0.00000000;0
"2024-06-28";10171;0;0.00000000;0
"2024-07-01";10233;10;0.05779200;0
"2024-06-20";10031;5;5.23017600;1
"2024-07-01";10144;2;0.00963200;0
"2024-06-23";10434;215;6.77129600;5
"2024-06-25";10244;0;0.00000000;0
"2024-06-18";10457;1;0.00963200;0
"2024-06-23";10623;5;0.00963200;0
"2024-06-13";10462;206;7.04099200;0
"2024-06-27";10595;4;0.04816000;0
"2024-06-27";10652;2;0.13484800;0
"2024-06-29";10435;55;0.70313600;0
"2024-06-19";10216;365;3.98764800;21
"2024-06-16";10475;240;6.63644800;0
"2024-06-11";10330;2;0.04816000;0
"2024-06-21";10489;89;2.58137600;0
"2024-06-11";10638;4760;31.31363200;58
"2024-06-17";10496;202;5.33612800;1
"2024-06-16";10613;17;0.00000000;0
"2024-06-24";10644;3;0.36601600;0
"2024-06-13";10478;3;0.10595200;0
"2024-06-14";10483;1;0.13484800;0
"2024-06-12";10582;5399;52.61036928;93
"2024-06-26";10442;78;1.38700800;0
"2024-06-16";10611;9;0.03852800;0
"2024-06-19";10627;1;0.00000000;0
"2024-07-01";10706;8;0.28838208;1
"2024-06-21";10608;2;0.00963200;0
"2024-06-17";10634;2;0.01926400;0
"2024-06-25";10643;1;0.03852800;0
"2024-06-13";10440;32;1.42553600;0
"2024-06-12";10620;32;0.04816000;0
"2024-06-25";10655;5;0.10595200;0
"2024-07-01";10489;0;0.00000000;0
"2024-06-15";10494;141;4.08396800;2
"2024-06-22";10332;8;0.06742400;0
"2024-06-27";10654;140;3.04371200;0
"2024-06-18";10216;271;3.23635200;15
"2024-06-28";10457;86;1.28105600;0
"2024-06-20";10489;105;7.10841600;0
"2024-06-21";10432;556;14.20720000;17
"2024-06-12";10171;3;0.00963200;0
"2024-06-30";10438;2;0.04816000;0
"2024-06-11";10481;1;0.00963200;0
"2024-06-18";10477;1;0.01926400;0
"2024-06-15";10611;13;0.08668800;0
"2024-06-21";10215;3;0.03852800;0
"2024-06-28";10498;1;0.00000000;0
"2024-06-20";10418;1;0.19264000;0
"2024-06-26";10662;3;0.00963200;0
"2024-06-13";10144;2;0.07705600;0
"2024-06-30";10458;0;0.00000000;0
"2024-06-28";10052;5;0.00000000;0
"2024-06-15";10613;8;0.00000000;0
"2024-06-17";10630;9;0.00963200;0
"2024-06-21";10331;628;8.76512000;8
"2024-06-13";10620;3;0.00000000;0
"2024-07-06";10018;5;0.49123200;2
"2024-06-16";10143;106;4.35366400;0
"2024-06-27";10615;2;0.00000000;0
"2024-06-16";10222;8174;66.67588256;402
"2024-06-19";10469;3236;58.75520000;41
"2024-06-11";10031;38;11.96294400;5
"2024-06-24";10462;228;4.75820800;0
"2024-06-16";10633;7;0.00000000;0
"2024-06-12";10444;46;1.57964800;0
"2024-06-19";10467;1;0.04816000;0
"2024-06-27";10597;1;0.00000000;0
"2024-06-28";10500;1;0.01926400;0
"2024-06-27";10643;9;0.17337600;0
"2024-06-24";10661;235;5.30723200;2
"2024-06-26";10018;70;6.54012800;44
"2024-06-13";10421;529;10.65299200;2
"2024-06-15";10559;0;0.00000000;0
"2024-06-12";10639;202;3.00518400;13
"2024-06-16";10594;32;0.00000000;0
"2024-06-11";10171;1;0.10595200;0
"2024-06-28";10168;134;2.09014400;0
"2024-06-22";10222;17;0.24080000;1
"2024-06-25";10483;1;0.03852800;0
"2024-06-30";10669;7;0.08668800;0
"2024-06-30";10241;191;2.56211200;0
"2024-06-28";10696;17;0.92332352;1
"2024-06-22";10468;3;0.02889600;0
"2024-06-18";10488;422;10.97084800;0
"2024-06-25";10143;1;0.00963200;0
"2024-06-18";10417;1;0.24080000;0
"2024-06-25";10442;74;1.18473600;0
"2024-06-25";10641;11;0.36601600;0
"2024-06-27";10455;126;1.79155200;1
"2024-06-28";10427;1;0.00000000;0
"2024-06-18";10595;2003;16.55760064;126
"2024-06-15";10421;4;0.23116800;0
"2024-06-26";10496;1;0.01926400;0
"2024-06-22";10500;1;0.03852800;0
"2024-06-14";10611;600;4.14176000;19
"2024-07-08";10645;0;0.00000000;0
"2024-06-16";10254;63;2.06124800;0
"2024-06-26";10622;4;0.00000000;0
"2024-06-11";10596;152;0.00963200;1
"2024-06-21";10689;336;5.91404800;2
"2024-07-01";10497;217;5.57692800;4
"2024-06-30";10642;1;0.00000000;0
"2024-06-17";10636;2;0.00000000;0
"2024-06-12";10244;53;1.56038400;0
"2024-06-14";10463;3;0.04816000;0
"2024-06-16";10483;1;0.12521600;0
"2024-06-19";10418;2;0.34675200;0
"2024-06-19";10497;198;4.37292800;1
"2024-06-28";10437;110;1.92640000;0
"2024-06-13";10624;14;0.14438368;0
"2024-06-25";10663;2;0.05779200;0
"2024-06-30";10640;5;0.04806368;0
"2024-06-26";10634;4;0.00963200;0
"2024-06-22";10421;506;13.61001600;6
"2024-06-21";10600;258;1.56038400;18
"2024-07-01";10331;310;4.21881600;2
"2024-06-15";10433;735;16.21065600;13
"2024-06-28";10666;3;0.06742400;0
"2024-06-15";10443;4;0.16374400;0
"2024-06-18";10486;2;0.04816000;0
"2024-06-15";10502;4811;93.38224000;17
"2024-06-12";10031;23;3.21708800;4
"2024-06-23";10244;176;3.00518400;2
"2024-06-28";10648;1;0.03852800;0
"2024-06-20";10469;5;0.02889600;0
"2024-06-17";10602;1;0.00963200;0
"2024-06-23";10629;1;0.00000000;0
"2024-06-25";10653;121;4.02617600;0
"2024-06-12";10497;10;0.28896000;1
"2024-06-29";10467;117;1.65670400;0
"2024-06-18";10170;2;0.00963200;0
"2024-06-13";10480;98;3.14966400;1
"2024-06-23";10641;7;0.07705600;0
"2024-06-23";10222;395;3.41579616;18
"2024-06-24";10600;295;1.71449600;11
"2024-07-01";10689;20;0.01926400;2
"2024-06-22";10472;1;0.00963200;0
"2024-06-19";10479;206;6.11632000;1
"2024-07-08";10643;6;0.15411200;0
"2024-06-24";10624;1;0.00963200;0
"2024-06-25";10645;1484;29.74361600;4
"2024-06-24";10215;1;0.00963200;0
"2024-06-14";10443;8;0.27932800;0
"2024-06-29";10489;0;0.00000000;0
"2024-06-24";10602;1;0.00000000;0
"2024-06-25";10643;23;0.66460800;4
"2024-06-26";10474;269;5.03753600;0
"2024-06-28";10494;6;0.04816000;0
"2024-06-12";10430;149;3.37120000;3
"2024-06-15";10500;1;0.00000000;0
"2024-06-11";10610;1881;11.80883200;53
"2024-06-25";10256;87;1.83971200;0
"2024-06-12";10501;1;0.00963200;0
"2024-06-24";10610;381;2.19609600;12
"2024-06-16";10236;1;0.00963200;0
"2024-06-17";10614;1;0.00000000;0
"2024-06-13";10630;416;2.53321600;20
"2024-06-30";10460;19;0.28896000;0
"2024-06-12";10499;223;4.44998400;0
"2024-06-11";10600;18;0.09632000;1
"2024-06-21";10422;1;0.07705600;0
"2024-07-03";10451;736;8.58211200;3
"2024-06-13";10472;227;3.67942400;2
"2024-06-15";10611;1;0.00963200;0
"2024-06-23";10254;0;0.00000000;0
"2024-06-25";10493;3;0.02889600;0
"2024-06-17";10622;2;0.00000000;0
"2024-06-23";10633;4;0.00000000;0
